state,date,households,persons,avg_per_household,avg_per_person,total_cost
Connecticut,1988-10-01,40621,108805,105.59,39.42,4289088
Connecticut,1988-11-01,40988,109264,105.91,39.73,4341000
Connecticut,1988-12-01,41109,109456,105.55,39.64,4339230
Connecticut,1989-01-01,42033,111600,102.58,38.64,4311901
Connecticut,1989-02-01,42598,112990,104.39,39.36,4446846
Connecticut,1989-03-01,42639,113145,104.97,39.56,4475884
Connecticut,1989-04-01,43758,115559,105.04,39.77,4596316
Connecticut,1989-05-01,43888,115480,100.63,38.24,4416458
Connecticut,1989-06-01,43654,115283,101.08,38.28,4412559
Connecticut,1989-07-01,43782,115384,97.59,37.03,4272833
Connecticut,1989-08-01,44817,117896,96.03,36.5,4303634
Connecticut,1989-09-01,44530,117600,96.71,36.62,4306483
Maine,1988-10-01,35691,80656,110.65,48.96,3949167
Maine,1988-11-01,35523,79715,108.5,48.35,3854081
Maine,1988-12-01,36521,82620,109.34,48.33,3993273
Maine,1989-01-01,37527,85204,104.4,45.98,3918004
Maine,1989-02-01,38190,87143,106.31,46.59,4059842
Maine,1989-03-01,38831,88446,107.07,47.01,4157698
Maine,1989-04-01,37810,86138,106.6,46.79,4030647
Maine,1989-05-01,37962,87082,108.94,47.49,4135647
Maine,1989-06-01,37246,84467,106.89,47.13,3981065
Maine,1989-07-01,37044,84003,107.56,47.43,3984375
Maine,1989-08-01,37248,84185,108.57,48.04,4044079
Maine,1989-09-01,36679,82356,106.58,47.47,3909383
Massachusetts,1988-10-01,132536,307086,95.78,41.34,12694704
Massachusetts,1988-11-01,134248,310775,94.12,40.66,12634941
Massachusetts,1988-12-01,134235,310443,94.0,40.64,12617735
Massachusetts,1989-01-01,134952,312101,93.95,40.62,12679005
Massachusetts,1989-02-01,135869,313456,93.95,40.72,12765451
Massachusetts,1989-03-01,137442,316444,93.64,40.67,12870119
Massachusetts,1989-04-01,136394,313306,93.59,40.74,12764700
Massachusetts,1989-05-01,135932,312177,94.29,41.06,12816860
Massachusetts,1989-06-01,138951,319111,91.85,39.99,12762528
Massachusetts,1989-07-01,137767,316846,93.35,40.59,12860360
Massachusetts,1989-08-01,138948,319841,94.4,41.01,13117013
Massachusetts,1989-09-01,139995,322345,93.87,40.77,13141710
New Hampshire,1988-10-01,9044,18851,95.04,45.6,859573
New Hampshire,1988-11-01,9183,19254,95.18,45.39,874033
New Hampshire,1988-12-01,9501,20037,97.49,46.23,926299
New Hampshire,1989-01-01,9918,21170,96.36,45.14,955701
New Hampshire,1989-02-01,10221,22066,100.51,46.55,1027265
New Hampshire,1989-03-01,10652,23227,102.86,47.17,1095618
New Hampshire,1989-04-01,10535,23016,101.41,46.42,1068405
New Hampshire,1989-05-01,10535,23095,101.56,46.33,1069983
New Hampshire,1989-06-01,10497,22602,99.0,45.98,1039151
New Hampshire,1989-07-01,10588,22687,97.03,45.29,1027405
New Hampshire,1989-08-01,10782,23222,99.93,46.4,1077409
New Hampshire,1989-09-01,10735,23168,99.01,45.87,1062821
New York,1988-10-01,651778,1494329,119.85,52.28,78118270
New York,1988-11-01,649541,1484397,120.07,52.54,77989550
New York,1988-12-01,651857,1493627,120.68,52.67,78667519
New York,1989-01-01,659846,1502222,116.98,51.38,77191353
New York,1989-02-01,636215,1438246,121.66,53.82,77404538
New York,1989-03-01,656503,1468033,118.88,53.16,78044711
New York,1989-04-01,657658,1468739,118.13,52.89,77687835
New York,1989-05-01,656260,1468158,118.08,52.78,77491383
New York,1989-06-01,659489,1463751,116.91,52.67,77101621
New York,1989-07-01,635120,1410743,120.64,54.31,76619674
New York,1989-08-01,638620,1409738,121.01,54.82,77278501
New York,1989-09-01,650229,1448317,118.37,53.14,76970150
Rhode Island,1988-10-01,24568,55993,99.3,43.57,2439607
Rhode Island,1988-11-01,24471,55483,100.73,44.43,2465037
Rhode Island,1988-12-01,24610,55830,101.16,44.59,2489636
Rhode Island,1989-01-01,24844,56501,118.39,52.06,2941379
Rhode Island,1989-02-01,24975,56738,118.56,52.19,2961093
Rhode Island,1989-03-01,25318,57668,119.33,52.39,3021171
Rhode Island,1989-04-01,25176,57408,119.48,52.4,3008134
Rhode Island,1989-05-01,25010,56822,116.63,51.33,2916881
Rhode Island,1989-06-01,25104,57123,117.02,51.43,2937789
Rhode Island,1989-07-01,25010,57001,99.61,43.71,2491229
Rhode Island,1989-08-01,25339,57680,99.16,43.56,2512512
Rhode Island,1989-09-01,25340,57958,95.92,41.94,2430580
Vermont,1988-10-01,14317,31736,95.38,43.03,1365506
Vermont,1988-11-01,14807,33185,97.48,43.49,1443324
Vermont,1988-12-01,15201,34182,97.24,43.25,1478206
Vermont,1989-01-01,15113,33746,95.74,42.88,1446893
Vermont,1989-02-01,15594,35413,98.21,43.25,1531514
Vermont,1989-03-01,15730,35552,98.36,43.52,1547178
Vermont,1989-04-01,15425,34624,95.1,42.37,1466873
Vermont,1989-05-01,15529,35140,97.21,42.96,1509500
Vermont,1989-06-01,15273,34222,94.55,42.2,1444045
Vermont,1989-07-01,15040,33171,90.17,40.88,1356153
Vermont,1989-08-01,15321,34092,92.68,41.65,1419955
Vermont,1989-09-01,15177,33640,91.21,41.15,1384330
Delaware,1988-10-01,10654,28767,138.35,51.24,1473994
Delaware,1988-11-01,10670,28810,138.47,51.28,1477507
Delaware,1988-12-01,11141,30081,147.69,54.7,1645382
Delaware,1989-01-01,10932,29517,148.53,55.01,1623778
Delaware,1989-02-01,10931,29512,147.99,54.81,1617662
Delaware,1989-03-01,11290,30483,149.69,55.44,1690042
Delaware,1989-04-01,11281,30459,142.08,52.62,1602830
Delaware,1989-05-01,10926,29501,140.52,52.04,1535362
Delaware,1989-06-01,10940,29539,139.88,51.81,1530340
Delaware,1989-07-01,10904,29441,139.89,51.81,1525352
Delaware,1989-08-01,11217,30286,137.66,50.98,1544118
Delaware,1989-09-01,11208,30262,140.68,52.1,1576779
District of Columbia,1988-10-01,25414,58940,117.15,50.51,2977234
District of Columbia,1988-11-01,25854,59833,117.71,50.86,3043274
District of Columbia,1988-12-01,25957,60173,117.85,50.84,3058959
District of Columbia,1989-01-01,25252,58175,116.49,50.56,2941496
District of Columbia,1989-02-01,25050,57598,116.04,50.47,2906808
District of Columbia,1989-03-01,24536,56402,121.03,52.65,2969531
District of Columbia,1989-04-01,25361,58583,116.07,50.25,2943552
District of Columbia,1989-05-01,25067,58029,115.37,49.84,2892101
