Connecticut,10/1/1988,"40,621","108,805",105.59,39.42,"4,289,088"
Connecticut,11/1/1988,"40,988","109,264",105.91,39.73,"4,341,000"
Connecticut,12/1/1988,"41,109","109,456",105.55,39.64,"4,339,230"
Connecticut,1/1/1989,"42,033","111,600",102.58,38.64,"4,311,901"
Connecticut,2/1/1989,"42,598","112,990",104.39,39.36,"4,446,846"
Connecticut,3/1/1989,"42,639","113,145",104.97,39.56,"4,475,884"
Connecticut,4/1/1989,"43,758","115,559",105.04,39.77,"4,596,316"
Connecticut,5/1/1989,"43,888","115,480",100.63,38.24,"4,416,458"
Connecticut,6/1/1989,"43,654","115,283",101.08,38.28,"4,412,559"
Connecticut,7/1/1989,"43,782","115,384",97.59,37.03,"4,272,833"
Connecticut,8/1/1989,"44,817","117,896",96.03,36.5,"4,303,634"
Connecticut,9/1/1989,"44,530","117,600",96.71,36.62,"4,306,483"
Maine,10/1/1988,"35,691","80,656",110.65,48.96,"3,949,167"
Maine,11/1/1988,"35,523","79,715",108.5,48.35,"3,854,081"
Maine,12/1/1988,"36,521","82,620",109.34,48.33,"3,993,273"
Maine,1/1/1989,"37,527","85,204",104.4,45.98,"3,918,004"
Maine,2/1/1989,"38,190","87,143",106.31,46.59,"4,059,842"
Maine,3/1/1989,"38,831","88,446",107.07,47.01,"4,157,698"
Maine,4/1/1989,"37,810","86,138",106.6,46.79,"4,030,647"
Maine,5/1/1989,"37,962","87,082",108.94,47.49,"4,135,647"
Maine,6/1/1989,"37,246","84,467",106.89,47.13,"3,981,065"
Maine,7/1/1989,"37,044","84,003",107.56,47.43,"3,984,375"
Maine,8/1/1989,"37,248","84,185",108.57,48.04,"4,044,079"
Maine,9/1/1989,"36,679","82,356",106.58,47.47,"3,909,383"
Massachusetts,10/1/1988,"132,536","307,086",95.78,41.34,"12,694,704"
Massachusetts,11/1/1988,"134,248","310,775",94.12,40.66,"12,634,941"
Massachusetts,12/1/1988,"134,235","310,443",94,40.64,"12,617,735"
Massachusetts,1/1/1989,"134,952","312,101",93.95,40.62,"12,679,005"
Massachusetts,2/1/1989,"135,869","313,456",93.95,40.72,"12,765,451"
Massachusetts,3/1/1989,"137,442","316,444",93.64,40.67,"12,870,119"
Massachusetts,4/1/1989,"136,394","313,306",93.59,40.74,"12,764,700"
Massachusetts,5/1/1989,"135,932","312,177",94.29,41.06,"12,816,860"
Massachusetts,6/1/1989,"138,951","319,111",91.85,39.99,"12,762,528"
Massachusetts,7/1/1989,"137,767","316,846",93.35,40.59,"12,860,360"
Massachusetts,8/1/1989,"138,948","319,841",94.4,41.01,"13,117,013"
Massachusetts,9/1/1989,"139,995","322,345",93.87,40.77,"13,141,710"
New Hampshire,10/1/1988,"9,044","18,851",95.04,45.6,"859,573"
New Hampshire,11/1/1988,"9,183","19,254",95.18,45.39,"874,033"
New Hampshire,12/1/1988,"9,501","20,037",97.49,46.23,"926,299"
New Hampshire,1/1/1989,"9,918","21,170",96.36,45.14,"955,701"
New Hampshire,2/1/1989,"10,221","22,066",100.51,46.55,"1,027,265"
New Hampshire,3/1/1989,"10,652","23,227",102.86,47.17,"1,095,618"
